brand,product_name,category,price,features,reviews,skin_type
설화수,자음생크림,크림,150000,"인삼의 생명력을 담아 피부 자생력을 키워주는 안티에이징 크림. 60년 인삼 과학의 결정체. 깊은 영양감과 탄력 개선.","가격은 비싸지만 어머니 선물로 최고예요. 바르자마자 윤기가 돕니다. 속건조가 심했는데 이거 쓰고 해결됐어요. 향이 아주 고급스러워요.","건성,노화,탄력저하"
설화수,윤조에센스,에센스,97000,"세안 후 가장 먼저 바르는 퍼스트 에센스. 피부 균형을 맞춰주고 다음 단계 흡수를 도움. 건강한 윤기 부여.","n병째 쓰고 있는 인생템입니다. 세안 직후 바르면 피부가 편안해져요. 흡수가 빠르고 끈적이지 않아요. 피부결이 매끈해졌어요.","모든피부,푸석함,윤기부족"
설화수,탄력크림,크림,85000,"지선체™ 성분이 무너진 탄력망을 강화하여 탄탄한 피부로 가꿔주는 탄력 강화 크림. 쫀쫀한 텍스처.","얼굴 선이 정리되는 느낌이에요. 쫀쫀해서 피부를 잡아주는 것 같아요. 보습력도 좋아서 환절기에 딱입니다.","중건성,탄력저하,처짐"
라네즈,워터뱅크 블루히알루로닉 크림,크림,38000,"초저분자 블루 히알루론산이 피부 깊숙이 폭발적인 수분을 충전. 48시간 보습 지속. 손상된 장벽 리페어.","수부지 피부에 구원템입니다. 기름지지 않고 수분만 꽉 채워줘요. 화장이 안 밀리고 잘 먹어요. 쿨링감이 있어서 진정에도 좋아요.","지성,수부지,민감성"
라네즈,네오 쿠션 매트,메이크업,28000,"초경량 커버 파우더가 얇고 강력하게 밀착. 땀과 유분에 강한 24시간 롱라스팅. 마스크 묻어남 최소화.","지성 피부인데 오후까지 무너지지 않아요. 커버력이 좋은데 답답하지 않아요. 여름 쿠션 정착했습니다.","지성,복합성,잡티"
라네즈,크림 스킨 세라펩타이드,스킨,28000,"크림 한 통을 스킨에 녹여낸 고보습 스킨. 세라마이드와 펩타이드로 장벽 강화와 탄력을 동시에.","이거 하나만 발라도 당기지 않아요. 올인원처럼 쓰기 좋습니다. 순해서 민감성 피부에도 자극이 없어요.","건성,민감성,속건조"
이니스프리,그린티 씨드 히알루론산 세럼,에센스,24000,"뷰티 그린티와 히알루론산이 만나 속건조를 해결하는 수분 장벽 강화 세럼. 즉각적인 수분 공급.","가성비 최고의 수분 세럼. 끈적임 없이 산뜻해요. 트러블 없이 순해서 데일리로 씁니다.","수부지,복합성,속건조"
이니스프리,레티놀 시카 흔적 앰플,앰플,35000,"레티놀과 시카 성분이 트러블 흔적부터 모공, 잡티까지 케어. 저자극 고효능 앰플.","피부결이 진짜 보들보들해져요. 좁쌀 여드름이 많이 들어갔어요. 레티놀인데 자극이 없어서 신기해요.","트러블성,모공,잡티"
이니스프리,블랙티 유스 인핸싱 앰플,앰플,38000,"지친 피부의 컨디션을 회복시켜주는 나이트 집중 케어 앰플. 항산화 효과로 탄력과 윤기 부여.","저렴이 갈색병이라고 불릴만해요. 자고 일어나면 피부가 푹 잔 것처럼 좋아져요. 쫀쫀한 제형이 마음에 듭니다.","건성,푸석함,피로"
헤라,블랙 쿠션,메이크업,60000,"마그네핏 피그먼트가 얇고 강력하게 밀착되어 24시간 다크닝 없는 고커버 쿠션. 세미 매트 피니쉬.","왜 백화점 1위인지 알겠어요. 무너짐이 너무 예쁘게 무너져요. 수정 화장이 필요 없습니다. 고급스러운 피부 표현.","지성,복합성,커버필요"
